Where are you from?	How old are you?	What age did you start programming?	What gender are you?	What is your current employment status?	Do you code outside of work/studying?	What is the highest level of education you have completed?	What do you value most in a job? [Good salary]	What do you value most in a job? [Tech stack/language choice]	What do you value most in a job? [Remote work]	What do you value most in a job? [Team events/parties]	What do you value most in a job? [Healthcare benefits]	What do you value most in a job? [Vacation days]	What do you value most in a job? [Career progression]	What do you value most in a job? [Work hour flexibility]	What do you value most in a job? [Free food]	What do you value most in a job? [Commute time]	What motivates you to program?	Which language(s) have you worked with in your studies, during employment, or at home this year?	Which language(s) would you say you are most proficient in?	Which language(s) would you like to try this year?	If you work on personal projects, which of these best describes your approach?	What field(s) of programming are you interested in?	How did you find out about The Programmer's Hangout?	How long have you been a member of TPH?	What do you use TPH for?	What is the highest activity role you have? (The roles below are ordered highest first)	Have you ever been shidded?	What device(s) do you use for programming?	Which operating system do you use most often?	How many monitors do you use?	How often do you contribute to open source projects?	Why do you contribute to open source projects?	Which of these statements do you most align with?	Why have you not contributed to open source projects?	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The rules are clear and understandable]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The rules are reasonable]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The moderation is fair]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The moderation team communicate well]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [I like TPH's moderation style]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [I like the nickname policy]	Have you ever used Threads in TPH?	Do you have any other comments you'd like to give to the moderation team? This can include suggestions and complaints. If you have a complaint about how staff handle certain scenarios please give/link specific examples. We can't improve without examples.
Europe	26-30	13 - 17	Male	Employed (full time)	Yes	Bachelor's degree	Requirement	Very important	Requirement	Somewhat important	Somewhat important	Very important	Very important	Requirement	Don't care	Very important	This information will be kept private.	JavaScript, C++, Java, Python, C, Kotlin, Rust, TypeScript, Elixir	Java, Python, Kotlin, Rust, Go, Elixir	Haskell	I start a project but quickly lose motivation and usually don't complete a project	Fintech, Cyber security	Discord server listing website	3+ years	Chatting with other programmers, Helping other programmers	Patriotic-Procrastinator	Yes	Laptop, Desktop	Linux	2	Less than once per month but more than once per year	To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Somewhat	Somewhat	Somewhat	Strongly Agree	No	This information will be kept private.
Asia	18-21	13 - 17	Male	Student (full time)	Yes	Secondary/high school	Very important	Requirement	Requirement	Very important	Requirement	Requirement	Requirement	Requirement	Very important	Requirement	This information will be kept private.	JavaScript, Java, Python, HTML, CSS, Rust, TypeScript, Assembly, Ruby	JavaScript, Java, HTML	Kotlin, TypeScript	I commit to a project until I reach a defined end goal before moving on to the next	Robotics, Web dev, Data Science, Cyber security, Artificial Intelligence	Discord server listing website	0-1 years	Lurking	I don't have a role :(		Desktop	Windows	1	Never			I don't feel comfortable with my ability	Strongly Agree	Strongly Agree	Not sure	Not sure	Not sure	Not sure	No	This information will be kept private.
Europe	26-30	18 - 21	Male	Employed (full time)	No	Bachelor's degree	Somewhat important	Very important	Don't care	Somewhat important	Requirement	Somewhat important	Somewhat important	Somewhat important	Don't care	Somewhat important	This information will be kept private.	JavaScript, Java, Assembly	Java	TypeScript		Robotics, Data Science, Embedded Systems	Through a friend/colleague	2-3 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Active	Yes	Laptop	Mac	2	Less than once per month but more than once per year	To give back to the community, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Not sure	Yes	This information will be kept private.
Europe	13-17	< 13	Male	Student (full time)	Yes	Secondary/high school	Requirement	Very important	Very important	Somewhat important	Very important	Requirement	Very important	Very important	Very important	Requirement	This information will be kept private.	JavaScript, HTML, CSS, TypeScript, Ruby	JavaScript	Python, Kotlin, Rust	I start a project but quickly lose motivation and usually don't complete a project	Web dev, Mobile dev	Discord server listing website	1-2 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Conke-Commander	Yes	Laptop, Mobile	Mac	2	Less than once per month but more than once per year	To give back to the community, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
Europe	22-25	13 - 17	Male	Student (full time)	Yes	Primary/elementary School	Very important	Somewhat important	Somewhat important	Very important	Very important	Very important	Very important	Somewhat important	Somewhat important	Very important	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, C#, PHP, Kotlin, TypeScript, Lua	JavaScript, HTML, CSS, PHP	C#, PHP, TypeScript	I commit to a project until I reach a defined end goal before moving on to the next	Web dev	Search engine result (google, duckduckgo, bing, yahoo, etc)	0-1 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Chatterbox	No but I'd like to be	Laptop, Desktop	Windows	3	Less than once per month but more than once per year	To give back to the community, To improve my knowledge	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	This information will be kept private.
Asia	13-17	< 13	Male	Student (full time)	Yes	Rather not say											This information will be kept private.	C++, C, Rust, Go	C++, C	Haskell, Elixir	I start a project but quickly lose motivation and usually don't complete a project	Embedded Systems, Cyber security, Game dev	Discord server listing website	0-1 years	Chatting with other programmers, Getting help with programming problems, Lurking	I don't have a role :(	No but I'd like to be	Laptop	Linux	1	Less than once per month but more than once per year	To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
North America	13-17	< 13	Male	Student (full time)	Yes	Primary/elementary School	Somewhat important	Very important	Don't care	Don't care	Don't care	Somewhat important	Very important	Somewhat important	Somewhat important	Somewhat important	This information will be kept private.	JavaScript, C++, HTML, CSS, Assembly	C++	Rust, Lisp	I have lots of projects on the go. Switching between them keeps me motivated	Embedded Systems, Game dev	Search engine result (google, duckduckgo, bing, yahoo, etc)	2-3 years	Helping other programmers, Lurking	Chatterbox	No but I'd like to be	Desktop	Windows	1	Less than once per month but more than once per year	To give back to the community, To fix issues in libraries I use	I would like to only contribute to open source projects		Strongly Agree	Somewhat	Strongly Agree	Somewhat	Somewhat	Strongly Agree	No	This information will be kept private.
Asia	13-17	13 - 17	Male	Student (full time)	Yes	Secondary/high school											This information will be kept private.	JavaScript, Python, HTML, CSS, PHP, TypeScript	JavaScript, Python, HTML, CSS, TypeScript	C++, Rust		Robotics, Web dev, Mobile dev, Data Science, Game dev, Artificial Intelligence	Other	0-1 years	Helping other programmers, Getting help with programming problems	Active		Mobile	Linux	1	Never			I can't find any projects that interest me							No	This information will be kept private.
Asia	13-17	< 13	Male	Student (full time)	Yes	Secondary/high school											This information will be kept private.	JavaScript, C++, Java, Python, HTML, CSS	Python	JavaScript, C++, Python, TypeScript	I start a project but quickly lose motivation and usually don't complete a project	Fintech, Data Science, Cyber security, Game dev	Search engine result (google, duckduckgo, bing, yahoo, etc)	0-1 years	Chatting with other programmers	Active	Yes	Laptop, Mobile	Linux	1	Never			I don't feel comfortable with my ability, I don't have the time	Somewhat	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat	Yes	This information will be kept private.
North America	18-21	< 13	Male	Employed (internship)	Yes	Secondary/high school	Somewhat important	Very important	Very important	Somewhat important	Somewhat important	Somewhat important	Very important	Somewhat important	Don't care	Somewhat important	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, Rust, TypeScript, Haskell, Lua, Assembly, Lisp, Go, Ruby, Elixir, Other	JavaScript, Java, Python, C, HTML, CSS, Rust, Assembly, Lisp, Go	Python, Rust, TypeScript, Lua, Assembly, Elixir, Other	I have lots of projects on the go. Switching between them keeps me motivated	Fintech, Robotics, Web dev, Data Science, Embedded Systems, Cyber security, Game dev, Artificial Intelligence	Through a friend/colleague	3+ years	Chatting with other programmers, Helping other programmers, Lurking	Super-Talky	No but I'd like to be	Laptop, Desktop	Linux	1	Several times per week	To give back to the community, To improve my knowledge, To fix issues in libraries I use, Other	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
North America	22-25	< 13	Male	Employed (full time)	Yes	Bachelor's degree	Very important	Very important	Very important	Don't care	Requirement	Requirement	Very important	Very important	Don't care	Requirement	This information will be kept private.	JavaScript, C++, Java, HTML, CSS, TypeScript, Go	Java, TypeScript	Rust, Go	I start a project but quickly lose motivation and usually don't complete a project	Fintech, Web dev, Other	Social media (twitter, facebook, myspace, bebo, etc)	2-3 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Conke-Commander	No but I'd like to be	Desktop	Windows	1	Less than once per month but more than once per year	To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Somewhat	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
North America	18-21	< 13	Male	Self Employed (full time)	Yes	Secondary/high school	Somewhat important	Somewhat important	Very important	Don't care	Somewhat important	Somewhat important	Somewhat important	Very important	Don't care	Don't care	This information will be kept private.	JavaScript, C++, Java, HTML, CSS, PHP, Lua, Assembly	JavaScript, HTML, CSS, PHP, Lua	Other	I commit to a project until I reach a defined end goal before moving on to the next	Web dev, Mobile dev, Data Science, Game dev, Artificial Intelligence	Discord server discovery	3+ years	Chatting with other programmers, Getting help with programming problems	Chatterbox	Yes	Laptop, Desktop	Windows	3	Less than once per year	To fix issues in libraries I use	I'm happy with my current level of open source contribution		Not sure	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	Yes	This information will be kept private.
Asia	18-21	13 - 17	Male	Student (full time)	Yes	Secondary/high school	Very important	Somewhat important	Somewhat important	Don't care	Very important	Very important	Somewhat important	Requirement	Don't care	Don't care	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, Lua, Assembly, Lisp	JavaScript, C++, Python	C#, Rust, Haskell, Elixir	I commit to a project until I reach a defined end goal before moving on to the next	Pharmaceuticals, Robotics, Web dev, Embedded Systems, Testing	Discord server discovery	1-2 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Bepis-Drinker	Yes	Laptop	Windows	3	Less than once per year	To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Somewhat	Not sure	Not sure	Somewhat	Somewhat disagree	No	This information will be kept private.
North America	31-40	18 - 21	Male	Employed (full time)	Yes	PhD	Somewhat important	Somewhat important	Very important	Don't care	Requirement	Very important	Very important	Requirement	Don't care	Very important	This information will be kept private.	JavaScript, C++, Python, Rust, Lisp, Other	C++, Python	Rust, Lisp, Other	I have lots of projects on the go. Switching between them keeps me motivated	Pharmaceuticals, Other	Another discord server	3+ years	Lurking	Conke-Commander	Yes	Laptop, Desktop	Linux	1	Several times per week	To give back to the community, To improve my knowledge, To fix issues in libraries I use	I would like to only contribute to open source projects		Strongly Agree	Somewhat	Not sure	Somewhat	Not sure	Strongly Agree	No	This information will be kept private.
